Date,ticker,rsi,macd_hist,ret_1m,dist_sma_200,vix,inflacion_anual,curva_tipos,bono_10y,target
2014-10-31,MMM,72.88355205792936,1.0825034004538447,0.10889172287694171,0.11074361856674629,14.029999732971191,1.92969881917817,2.3320000381208956,2.3350000381469727,2
2014-11-30,MMM,71.49672182817724,-0.21531821161329612,0.0658187193381321,0.13913494079016958,13.329999923706055,1.9189891039946405,2.1890000058338046,2.194000005722046,2
2014-12-31,MMM,58.60243394954312,-0.017532548008608817,0.03894815385479422,0.14051455128395107,19.200000762939453,1.846151602708542,2.133000075817108,2.1700000762939453,2
2015-01-31,MMM,49.299957920650904,0.03605717105489642,-0.02134563053017502,0.10315375702954926,20.969999313354492,1.7034245604205416,1.6699999524280429,1.6749999523162842,0
2015-02-28,MMM,61.833898675177245,0.11267313213406371,0.03512861350816676,0.13110631332660982,13.34000015258789,1.766290534358496,1.9940000930801034,2.002000093460083,1
2015-03-31,MMM,49.4704381605794,-0.050361576188000495,-0.03255140797653844,0.08579823267413969,15.289999961853027,2.003949454296997,1.90900001488626,1.934000015258789,0
2015-04-30,MMM,32.222020204624044,-0.5223913372625959,-0.051894237114146424,0.014526402455181072,14.550000190734863,1.9366143378896328,2.041000003926456,2.0460000038146973,2
2015-05-31,MMM,44.13940293685699,0.0395799734238389,0.01985060877784406,0.02478715847748521,13.84000015258789,1.8127444842419886,2.0920000285841525,2.0950000286102295,1
2015-06-30,MMM,38.47281662665825,-0.20537395625661337,-0.029437104971973382,-0.017510416842354805,18.229999542236328,1.872569072309947,2.32500003837049,2.3350000381469727,0
2015-07-31,MMM,40.199585391673274,-0.14735743543092106,-0.027690409853026843,-0.04648011391852809,12.119999885559082,1.7812206837743096,2.1469999253749847,2.2049999237060547,1
2015-08-31,MMM,39.60442222805429,-0.002803952623866124,-0.05425409013391802,-0.09853844226631742,28.43000030517578,1.8350878769388708,2.197000047657639,2.200000047683716,2
2015-09-30,MMM,50.321375779011724,0.20499368997848066,-0.0026028641796117524,-0.09133911559408985,24.5,1.8506910186283843,2.0549999428912997,2.059999942779541,2
2015-10-31,MMM,72.02783592433283,0.3946141316898202,0.11654805129811696,0.014064825644846702,15.069999694824219,1.8621867251155408,2.0830000191926956,2.1510000228881836,1
2015-11-30,MMM,53.62656352619788,-0.26631225031168504,-7.489224471246558e-06,0.018684976359878334,16.1299991607666,2.1075451822983675,2.047999933362007,2.2179999351501465,0
2015-12-31,MMM,44.759658996819,0.02084982313740169,-0.039898282010056296,-0.01257175974454717,18.209999084472656,1.7619416906723504,2.121000051498413,2.2690000534057617,2
2016-01-31,MMM,61.610970552476914,0.9358924548880305,-0.012362011286455643,0.0022472451458497435,20.200000762939453,1.8990276017308376,1.6309999823570251,1.930999994277954,2
2016-02-29,MMM,60.842437268682346,0.09630634925752646,0.07251811901732386,0.0498502205505661,20.549999237060547,1.885245948960929,1.4320000112056732,1.7400000095367432,1
2016-03-31,MMM,69.16032481648172,-0.04369512260214914,0.04411288108022071,0.11004806243514831,13.949999809265137,1.6995470980388576,1.5930000096559525,1.7860000133514404,1
2016-04-30,MMM,54.16541644236591,-0.3032994786763126,0.004501057140094744,0.10374616165292593,15.699999809265137,1.7659451729391624,1.626000002026558,1.819000005722046,1
2016-05-31,MMM,54.42340733362543,0.04166714652812564,0.012311896023065927,0.10182429820944122,14.1899995803833,1.8286160541756997,1.5509999990463257,1.8339999914169312,2
2016-06-30,MMM,62.499746303482944,0.15392754864193953,0.03811711308817389,0.12188012287115835,15.630000114440918,1.8998503567145277,1.2400000393390656,1.4880000352859497,0
2016-07-31,MMM,56.277164992114805,-0.34153393711386704,0.03987910686960339,0.11521596569362336,11.869999885559082,1.7381740592186294,1.2179999500513077,1.4579999446868896,2
2016-08-31,MMM,53.98084659459449,-0.0609653849295857,0.01119546475134281,0.10573340030837752,13.420000076293945,1.756224897607749,1.2479999661445618,1.5679999589920044,0
2016-09-30,MMM,45.88247154448471,-0.10823735468189633,-0.016793236757538077,0.07046784741569151,13.289999961853027,1.7098726707871776,1.3480000495910645,1.6080000400543213,0
2016-10-31,MMM,27.794006171197367,-0.1785715399015042,-0.062021296204398224,-0.012505641677654247,17.059999465942383,1.7532124604736985,1.539000004529953,1.8339999914169312,2
2016-11-30,MMM,52.432308831085244,0.09185154776792526,0.045620794894391414,0.01587021583696331,13.329999923706055,1.7225733954613802,1.9000000357627869,2.368000030517578,2
2016-12-31,MMM,60.76657765951102,-0.07859136299651515,0.039769357086238966,0.043065195023538144,14.039999961853027,1.776122376189615,1.966000109910965,2.446000099182129,0
2017-01-31,MMM,39.58760299291305,-0.2658160293806492,-0.020122045534989974,0.01280090247807787,11.989999771118164,1.5385036955109654,1.9509999752044678,2.4509999752044678,2
2017-02-28,MMM,74.50343192601676,0.48822068300799737,0.05681540229642268,0.07701113293279428,12.920000076293945,1.7513723456906118,1.8350000381469727,2.3580000400543213,2
2017-03-31,MMM,61.817695281818665,-0.323232471175404,0.007583541354942769,0.08715055304867203,12.369999885559082,1.9197151808615294,1.6579999327659607,2.3959999084472656,2
2017-04-30,MMM,72.54575103370745,0.3170869984118163,0.027008480823001335,0.10000714786197923,10.819999694824219,1.9204000322619612,1.502000093460083,2.2820000648498535,2
2017-05-31,MMM,77.28201485845469,0.34119940377974434,0.05585542602847848,0.13952197412320774,10.40999984741211,1.7905032628264914,1.2460001111030579,2.196000099182129,2
2017-06-30,MMM,52.82069050277839,-0.555902461413341,0.018791056426206376,0.1368440453391143,11.180000305175781,1.8978467803017056,1.3090000748634338,2.302000045776367,0
2017-07-31,MMM,34.80292705290757,-0.9343482044979801,-0.03213845550007832,0.07710297135298225,10.260000228881836,1.6997522008453392,1.2390000820159912,2.2920000553131104,2
2017-08-31,MMM,50.45052989290458,0.036292563407015366,0.0004148246512325482,0.07405308029468168,10.59000015258789,1.8468915859389192,1.143000066280365,2.121000051498413,2
2017-09-30,MMM,55.7099591037066,-0.1315201428032794,0.03048738376110416,0.08155052106520747,9.510000228881836,1.8340584474622814,1.2979999780654907,2.3259999752044678,2
2017-10-31,MMM,65.95511111141056,0.5502741731582454,0.08192293778316162,0.15522887878521008,10.180000305175781,1.5792231190235166,1.2529999017715454,2.375999927520752,2
